"inchi","maccs_1","maccs_2","maccs_3","maccs_4","maccs_5","maccs_6","maccs_7","maccs_8","maccs_9","maccs_10","maccs_11","maccs_12","maccs_13","maccs_14","maccs_15","maccs_16","maccs_17","maccs_18","maccs_19","maccs_20","maccs_21","maccs_22","maccs_23","maccs_24","maccs_25","maccs_26","maccs_27","maccs_28","maccs_29","maccs_30","maccs_31","maccs_32","maccs_33","maccs_34","maccs_35","maccs_36","maccs_37","maccs_38","maccs_39","maccs_40","maccs_41","maccs_42","maccs_43","maccs_44","maccs_45","maccs_46","maccs_47","maccs_48","maccs_49","maccs_50","maccs_51","maccs_52","maccs_53","maccs_54","maccs_55","maccs_56","maccs_57","maccs_58","maccs_59","maccs_60","maccs_61","maccs_62","maccs_63","maccs_64","maccs_65","maccs_66","maccs_67","maccs_68","maccs_69","maccs_70","maccs_71","maccs_72","maccs_73","maccs_74","maccs_75","maccs_76","maccs_77","maccs_78","maccs_79","maccs_80","maccs_81","maccs_82","maccs_83","maccs_84","maccs_85","maccs_86","maccs_87","maccs_88","maccs_89","maccs_90","maccs_91","maccs_92","maccs_93","maccs_94","maccs_95","maccs_96","maccs_97","maccs_98","maccs_99","maccs_100","maccs_101","maccs_102","maccs_103","maccs_104","maccs_105","maccs_106","maccs_107","maccs_108","maccs_109","maccs_110","maccs_111","maccs_112","maccs_113","maccs_114","maccs_115","maccs_116","maccs_117","maccs_118","maccs_119","maccs_120","maccs_121","maccs_122","maccs_123","maccs_124","maccs_125","maccs_126","maccs_127","maccs_128","maccs_129","maccs_130","maccs_131","maccs_132","maccs_133","maccs_134","maccs_135","maccs_136","maccs_137","maccs_138","maccs_139","maccs_140","maccs_141","maccs_142","maccs_143","maccs_144","maccs_145","maccs_146","maccs_147","maccs_148","maccs_149","maccs_150","maccs_151","maccs_152","maccs_153","maccs_154","maccs_155","maccs_156","maccs_157"
"InChI=1S/C17H13ClN4/c1-11-10-22-15-6-5-12(18)8-13(15)17(20-9-16(22)21-11)14-4-2-3-7-19-14/h2-8,10H,9H2,1H3",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,4,10,1,0,0,1,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,3,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,0,0,0,4,0,1,0,0,1,0,0,3,0,1,1,0,0,1,1,2,0,0,0,0,0,7,0,0,20,0,0,1,2,1,0,0,1,1,8,4,0,0,0
"InChI=1S/C17H13ClN4/c1-11-20-21-16-10-19-17(12-5-3-2-4-6-12)14-9-13(18)7-8-15(14)22(11)16/h2-9H,10H2,1H3",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,4,7,1,0,0,1,0,0,2,0,0,0,1,2,4,3,0,0,0,0,0,3,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,0,0,4,0,1,0,0,1,0,0,3,0,1,1,0,0,1,1,2,0,0,0,0,0,5,0,0,20,0,0,1,2,1,0,0,0,1,9,4,0,0,0
"InChI=1S/C17H13ClN4/c1-11-8-12(18)6-7-13(11)20-17-16-9-19-10-22(16)15-5-3-2-4-14(15)21-17/h2-10H,1H3,(H,20,21)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,4,7,0,4,4,2,0,0,1,0,0,0,0,2,4,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,7,0,0,19,0,0,1,3,0,0,0,1,0,9,4,0,0,0
"InChI=1S/C17H13ClN4/c1-12-19-11-16(17(20-12)13-7-3-2-4-8-13)22-21-15-10-6-5-9-14(15)18/h2-11H,1H3",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4,5,1,4,4,0,0,0,1,0,0,0,1,1,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,4,0,0,18,0,0,0,3,0,0,0,1,1,14,0,0,0,0
"InChI=1S/C17H13ClN4/c1-11-19-8-12(9-20-11)17-16-6-3-7-22(16)15-5-2-4-14(18)13(15)10-21-17/h2-9H,10H2,1H3",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,4,10,1,0,0,1,0,0,1,0,0,0,0,1,1,4,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,0,0,0,4,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,7,0,0,20,0,0,1,2,1,0,0,1,1,7,4,0,0,0
"InChI=1S/C17H13ClN4/c18-12-4-5-15-14(7-12)17-16(9-20-15)21-10-22(17)13-3-1-2-11(6-13)8-19/h1-7,9-10H,8,19H2",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,4,9,0,0,2,2,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,0,0,0,0,3,0,6,3,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,7,1,0,19,0,0,1,3,0,0,0,1,1,10,4,0,0,0
"InChI=1S/C17H13ClN4/c18-13-6-2-1-5-12(13)9-20-17-16-10-19-11-22(16)15-8-4-3-7-14(15)21-17/h1-8,10-11H,9H2,(H,20,21)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,0,0,0,0,0,0,3,4,9,1,2,2,2,2,0,1,0,0,0,0,2,4,2,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,7,0,0,19,0,0,1,3,0,0,0,1,0,10,4,0,0,0
"InChI=1S/C17H13ClN4/c1-11-5-4-6-12(18)16(11)21-17-15-9-19-10-22(15)14-8-3-2-7-13(14)20-17/h2-10H,1H3,(H,20,21)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,4,7,0,4,4,2,0,0,1,0,0,0,0,2,4,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,7,0,0,19,0,0,1,3,0,0,0,1,0,9,4,0,0,0
"InChI=1S/C17H13ClN4/c18-12-6-7-14-13(8-12)15-16(22-14)17(21-10-20-15)19-9-11-4-2-1-3-5-11/h1-8,10,22H,9H2,(H,19,20,21)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,3,4,8,1,2,2,2,4,0,1,0,0,0,0,2,3,4,0,0,0,0,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,6,0,0,19,0,0,1,3,0,0,0,1,0,11,4,0,0,0
"InChI=1S/C17H13ClN4/c1-19-16-17-21-14(11-5-4-6-12(18)9-11)10-22(17)15-8-3-2-7-13(15)20-16/h2-10H,1H3,(H,19,20)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,4,9,0,2,2,2,0,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,7,0,0,19,0,0,1,3,0,0,0,1,1,10,4,0,0,0
"InChI=1S/C17H13ClN4/c1-21-17-19-9-10-22(17)15-8-7-13(18)11-14(15)16(20-21)12-5-3-2-4-6-12/h2-11H,1H3",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,4,9,0,0,0,2,2,0,0,1,0,0,1,3,3,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,7,0,0,20,0,0,1,2,1,0,0,0,1,10,4,0,0,0
"InChI=1S/C17H13ClN4/c1-19-16-17-21-14(11-6-8-12(18)9-7-11)10-22(17)15-5-3-2-4-13(15)20-16/h2-10H,1H3,(H,19,20)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,4,9,0,2,2,2,0,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,7,0,0,19,0,0,1,3,0,0,0,1,1,10,4,0,0,0
"InChI=1S/C17H13ClN4/c1-11-17-21-19-10-22(17)15-8-7-13(18)9-14(15)16(20-11)12-5-3-2-4-6-12/h2-11H,1H3",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,4,7,1,0,0,1,0,0,1,0,0,0,1,2,4,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,5,0,0,20,0,0,1,2,1,0,0,0,1,9,4,0,0,0
"InChI=1S/C17H13ClN4/c1-19-16-17-20-10-15(11-5-4-6-12(18)9-11)22(17)14-8-3-2-7-13(14)21-16/h2-10H,1H3,(H,19,21)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,4,9,0,2,2,2,0,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,7,0,0,19,0,0,1,3,0,0,0,1,1,10,4,0,0,0
"InChI=1S/C17H13ClN4/c1-11-6-7-12(18)8-14(11)21-17-16-9-19-10-22(16)15-5-3-2-4-13(15)20-17/h2-10H,1H3,(H,20,21)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,4,7,0,4,4,2,0,0,1,0,0,0,0,2,4,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,7,0,0,19,0,0,1,3,0,0,0,1,0,9,4,0,0,0
"InChI=1S/C17H13ClN4/c18-13-7-5-12(6-8-13)9-20-17-16-10-19-11-22(16)15-4-2-1-3-14(15)21-17/h1-8,10-11H,9H2,(H,20,21)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,0,0,0,0,0,0,3,4,9,1,2,2,2,2,0,1,0,0,0,0,2,4,2,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,7,0,0,19,0,0,1,3,0,0,0,1,0,10,4,0,0,0
"InChI=1S/C17H13ClN4/c1-19-16-17-20-10-15(11-6-8-12(18)9-7-11)22(17)14-5-3-2-4-13(14)21-16/h2-10H,1H3,(H,19,21)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,4,9,0,2,2,2,0,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,7,0,0,19,0,0,1,3,0,0,0,1,1,10,4,0,0,0
"InChI=1S/C17H13ClN4/c18-12-5-3-4-11(8-12)9-19-17-16-15(20-10-21-17)13-6-1-2-7-14(13)22-16/h1-8,10,22H,9H2,(H,19,20,21)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,3,4,8,1,2,2,2,4,0,1,0,0,0,0,2,3,4,0,0,0,0,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,6,0,0,19,0,0,1,3,0,0,0,1,0,11,4,0,0,0
"InChI=1S/C17H13ClN4/c18-13-6-7-15-14(10-13)17(12-4-2-1-3-5-12)19-9-8-16-21-20-11-22(15)16/h1-7,10-11H,8-9H2",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,9,0,0,9,0,4,4,7,1,0,0,1,0,0,1,0,0,0,1,2,2,4,0,0,0,0,0,3,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,5,0,0,21,0,0,1,2,0,1,0,0,1,13,4,0,0,0
"InChI=1S/C17H13ClN4/c1-11-6-7-13(12(18)8-11)20-17-16-9-19-10-22(16)15-5-3-2-4-14(15)21-17/h2-10H,1H3,(H,20,21)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,4,7,1,4,4,2,2,0,1,0,0,0,0,2,4,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,7,0,0,19,0,0,1,3,0,0,0,1,0,10,4,0,0,0
"InChI=1S/C17H13ClN4/c18-13-7-3-1-5-11(13)9-19-17-16-15(20-10-21-17)12-6-2-4-8-14(12)22-16/h1-8,10,22H,9H2,(H,19,20,21)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,3,4,8,1,2,2,2,4,0,1,0,0,0,0,2,3,4,0,0,0,0,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,6,0,0,19,0,0,1,3,0,0,0,1,0,11,4,0,0,0
"InChI=1S/C17H13ClN4/c1-9-2-4-14-15(6-9)22-17(21-14)12-8-20-13-5-3-10(18)7-11(13)16(12)19/h2-8H,1H3,(H2,19,20)(H,21,22)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,1,2,2,2,4,0,1,0,0,0,0,1,1,6,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,6,0,0,19,0,0,1,3,0,0,0,1,1,10,4,0,0,0
"InChI=1S/C17H13ClN4/c1-11-20-21-16-10-19-17(12-6-2-4-8-14(12)18)13-7-3-5-9-15(13)22(11)16/h2-9H,10H2,1H3",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,4,7,1,0,0,1,0,0,2,0,0,0,1,2,4,3,0,0,0,0,0,3,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,0,0,4,0,1,0,0,1,0,0,3,0,1,1,0,0,1,1,2,0,0,0,0,0,5,0,0,20,0,0,1,2,1,0,0,0,1,9,4,0,0,0
"InChI=1S/C17H13ClN4/c18-13-6-7-15-14(10-13)17(12-4-2-1-3-5-12)19-11-16-21-20-8-9-22(15)16/h1-8,10H,9,11H2",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,9,0,0,0,4,4,10,3,2,0,1,0,0,1,0,0,0,1,1,4,3,0,0,0,0,0,6,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,21,0,0,0,3,1,0,0,1,1,11,4,0,0,0
"InChI=1S/C17H13ClN4/c18-12-7-5-11(6-8-12)9-19-17-16-15(20-10-21-17)13-3-1-2-4-14(13)22-16/h1-8,10,22H,9H2,(H,19,20,21)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,3,4,8,1,2,2,2,4,0,1,0,0,0,0,2,3,4,0,0,0,0,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,6,0,0,19,0,0,1,3,0,0,0,1,0,11,4,0,0,0
"InChI=1S/C17H13ClN4/c1-10-20-21-17-16(19)15(11-5-3-2-4-6-11)13-9-12(18)7-8-14(13)22(10)17/h2-9H,19H2,1H3",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,4,4,0,2,2,2,0,0,2,0,0,0,1,2,4,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,5,1,0,19,0,0,1,3,0,0,0,1,1,10,4,0,0,0
"InChI=1S/C17H13ClN4/c1-11-8-12(6-7-13(11)18)20-17-16-9-19-10-22(16)15-5-3-2-4-14(15)21-17/h2-10H,1H3,(H,20,21)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,4,7,0,4,4,2,0,0,1,0,0,0,0,2,4,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,7,0,0,19,0,0,1,3,0,0,0,1,0,9,4,0,0,0
"InChI=1S/C17H13ClN4/c18-15-3-1-2-13(8-15)14-4-5-17-16(9-14)20-11-22(17)12-21-7-6-19-10-21/h1-11H,12H2",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4,4,10,0,0,0,2,4,0,0,0,0,0,0,3,2,2,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,8,0,0,20,0,0,2,2,0,0,0,0,1,13,2,0,0,0
"InChI=1S/C17H13ClN4/c1-11-6-7-12(18)14(8-11)21-17-16-9-19-10-22(16)15-5-3-2-4-13(15)20-17/h2-10H,1H3,(H,20,21)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,4,7,0,4,4,2,0,0,1,0,0,0,0,2,4,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,7,0,0,19,0,0,1,3,0,0,0,1,0,9,4,0,0,0
"InChI=1S/C17H13ClN4/c1-12-5-6-15-16(9-12)22(14-4-2-3-13(18)10-14)17(20-15)21-8-7-19-11-21/h2-11H,1H3",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,4,7,0,0,4,2,4,0,0,1,0,0,0,4,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,10,0,0,20,0,0,2,2,0,0,0,0,2,13,2,0,0,0
"InChI=1S/C17H13ClN4/c18-11-5-6-12-13(7-8-19-16(12)9-11)20-10-17-21-14-3-1-2-4-15(14)22-17/h1-9H,10H2,(H,19,20)(H,21,22)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,4,9,0,2,2,2,2,0,1,0,0,0,0,1,3,2,0,0,0,0,0,3,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,0,0,0,3,0,6,3,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,6,0,0,19,0,0,1,3,0,0,0,1,0,9,4,0,0,0
